country,factor,theme,real_beta,real_beta_t,bei_beta,bei_beta_t,mkt_beta,pre_mean,pre_vol,post_mean,n_pre,n_post,post_mean_2022,post_mean_2023,post_mean_2024
isr,ni_be,new,0.010016299435595304,0.8948968961058249,-0.018537244961362415,-1.367313654423469,-0.051547098706227014,0.0024743893037124857,0.03350672836925823,0.0011037988354135045,227,48,-0.0016156914601019173,-0.00153780618116705,-0.0060933425330224915
isr,ni_inc8q,momentum,-0.012898899407884983,-0.8031810573496806,-0.04324098306955243,-2.332599851946797,-0.16803276123374952,0.0012973413075660228,0.03421352176961235,0.0017095864732616936,179,48,0.00026846407510160906,0.0072396211288124415,0.0007910078877893002
isr,ni_ivol,intangibles,-0.005287228975907037,-0.35233459229546776,0.008865232521405012,0.636443070275507,-0.15781672159540167,-0.00551454577624524,0.03806813111959196,-0.0009556922346143313,227,48,0.003013188942413442,-0.006192065296562824,-0.0007944564563574078
isr,ni_me,value,0.015954782072147344,1.8137339521366693,0.0339987204405094,1.912901644028159,0.11168288424065967,0.004038615641137691,0.037377119023600046,0.005455895244015405,227,48,0.012374164182492835,0.0004183649611144412,0.002533409443708308
isr,niq_at,profitability,-0.015374693540243603,-1.5945014307287493,-0.08826267370446741,-3.7799468678673684,-0.26510372718887026,0.002421317603519292,0.03805037176049738,-0.005886514144483042,212,48,-0.007611510398231984,-0.00546348843501705,-0.009413462133337509
isr,niq_at_chg1,profitability,0.002135571598049189,0.17241682359265156,-0.044812044776763586,-2.1109656617029,-0.100516022802136,0.004364863334106803,0.03767943456524887,0.0008106593345436598,202,48,0.0010063504295915488,-2.1195520614420683e-06,0.0015026322964289745
isr,niq_be,profitability,0.0033336695619482475,0.25733389309261734,-0.052870766122065455,-1.9198229270335694,-0.11445360874986782,0.0029769093143651565,0.03776225250766732,0.004579943851299039,212,48,0.0005915727949780252,-0.003918321793193825,0.004428509515510534
isr,niq_be_chg1,profitability,0.009409007345208404,0.7030709923354591,-0.02818323846105974,-1.3402196513515776,-0.07649282174723304,0.0014631978798873924,0.0371657832062793,0.006327112327407944,200,48,0.0034381671564683316,0.003823230111089091,0.006095509416059742
isr,niq_su,momentum,0.00926400158777018,0.788543646323873,-0.04173849313215895,-1.7848420154089826,-0.03275620485976098,0.00042108402480511706,0.03498313566558769,0.0011896187564149829,188,48,0.004703450723300033,-0.007786165377138458,-0.00037323778050151667
isr,nncoa_gr1a,investment,0.004574149591853949,0.3111214330776718,-0.024330547149627353,-1.352858683028522,-0.09892781903401746,0.0012502122614931458,0.042918446583273435,0.008121581360283863,227,48,0.015614128375558367,0.0014679102016150337,0.02873983887394685
isr,noa_at,investment,-0.01301826200591079,-1.064872955271668,-0.016071217070230855,-0.6585189372370247,-0.10219236611614517,0.001870424935243281,0.04296271828818073,0.002533022097223109,227,48,0.0005093058827812512,0.015051765453074665,0.003078363719342392
isr,noa_gr1a,investment,-0.009521237380333785,-0.6762654539090306,-0.03413737812001058,-1.4927514945759064,-0.10330415248725217,0.00010726095523036153,0.04525906553415436,0.0057388300707105185,227,48,0.01752830251830936,-0.003532823539082608,0.024723495456268053
isr,o_score,profitability,-0.012217159836992777,-0.7909282394391239,-0.062317957608366094,-3.435156426869669,-0.2514303790268506,-0.0005717687018204186,0.042573900796091343,0.0005143035033798971,227,48,-0.0030449793662009673,0.00847437437645436,-0.0035412765461218846
isr,oaccruals_at,investment,-0.012265271950421033,-0.9367754961193225,-0.04424177085882108,-1.4908031406640327,-0.10091198905839803,0.000434185443427483,0.03871131447350757,-0.0030981423630323,227,48,-0.0008289359798849162,-0.010086076939396416,0.012034415723921624
isr,oaccruals_ni,investment,0.0023257453587468817,0.17662973494689327,-0.014716961793995023,-0.5705720656783954,0.017034465948045373,-0.002289553122543418,0.03764049017315607,0.005215369913152097,227,48,0.013130357045013709,-0.006625515567567558,0.025153566328311366
isr,ocf_at,new,-0.005173854865647706,-0.4996592532900044,-0.04815742275550359,-3.2442124779710277,-0.26086898965226873,0.001971701246657627,0.0370285044029625,-0.0073913983589988545,227,48,-0.002835561711076733,-0.007184808076012358,-0.010307174274069235
isr,ocf_at_chg1,new,-0.011037792348586902,-0.8818202158442892,0.0252091148895519,1.5984479101633646,0.04828878576991105,-0.002824876646046267,0.030941949725733747,-0.0018875115932386914,227,48,-0.005573650567150218,-0.006601386965215374,-0.0020107375030683334
isr,ocf_me,value,0.018792003238103594,1.4015162070975475,0.04930342406466953,3.5064844311950103,0.2055064112268402,-0.0003988018409789705,0.03373757861174789,0.012064767564686815,227,48,0.020443087950167107,-0.003943086075742165,0.018670279252050417
isr,ocfq_saleq_std,intangibles,0.03052999752811444,1.8761075431912984,-0.04282371684477371,-1.9839806616172195,-0.04399658445552294,0.002327580214157174,0.044096800079901716,-0.00513495775370137,188,48,0.0070079962440445015,-0.014415957937547677,0.004057573815316665
isr,op_at,profitability,0.006962279439759342,0.4708968986158931,-0.027663608156670908,-2.4211418195179855,-0.22063302992415135,0.0036152115825898554,0.03724451321276048,-0.004957073505362773,227,48,0.005614221473111733,-0.006589338778928874,-0.006440859941107276
isr,op_atl1,profitability,0.0034690007581815903,0.27633789995833113,-0.00553293400629532,-0.35227073236884665,-0.15654554864543477,0.0013121803430363036,0.039065149029524224,-0.007884995723075916,227,48,0.00010819230387902467,-0.00730856448125189,-0.011415972056338874
isr,ope_be,profitability,0.011698733139703764,1.067334920505366,0.020543700997124825,1.5510362197534986,0.0384563973167175,-0.0004056366250096772,0.03643395235668463,0.002340392691997836,227,48,0.0023450444404038997,-0.005221645276886751,0.01115146405062114
isr,ope_bel1,profitability,0.011790682442957123,1.071915161821374,0.024605900985854332,1.918935000860479,0.01921062358284395,-0.0016282947868286074,0.03641159060668126,0.0004759235437267581,227,48,-0.001880091563875692,-0.007264166325046267,0.006277456441215999
isr,opex_at,intangibles,0.014062397662779013,1.1777414016222936,-0.0038508078458863925,-0.14901942609047025,0.041771915796603054,0.009423949934961779,0.047685057270771054,-0.012540752229138218,227,48,-0.010311969101801691,-0.020161730341250045,-0.003664797614965
